Aviso,AnioMes,Equipo,DenominacionEquipo,Area,Linea,Criticidad,Causa,DuracionParada_h,CategoriaPerdida,LigadoAOrden
901330,2026-01,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Desalineamiento,5.4,Setup y ajustes,1
901331,2026-01,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Obstrucción,4.8,Defectos y reproceso,1
901332,2026-01,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,5.2,Paradas menores,1
901333,2026-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Fatiga de material,5.1,Averías,1
901334,2026-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Ajuste incorrecto,6.7,Defectos y reproceso,1
901335,2026-01,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Contaminación,3.4,Arranque,1
901336,2026-01,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Ajuste incorrecto,1.0,Arranque,1
901337,2026-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Fatiga de material,7.8,Averías,1
901338,2026-01,EQ-0202,Caldera 2,Servicios,N/A,B,Desgaste,1.5,Setup y ajustes,1
901339,2026-01,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desalineamiento,8.8,Averías,1
901340,2026-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falta de lubricación,11.2,Averías,1
901341,2026-01,EQ-0470,Paletizador,Envasado,Línea 3,B,Desalineamiento,7.8,Averías,1
901342,2026-01,EQ-0210,Compresor 3,Servicios,N/A,B,Ajuste incorrecto,6.2,Defectos y reproceso,1
901343,2026-01,EQ-0470,Paletizador,Envasado,Línea 3,B,Desalineamiento,1.1,Setup y ajustes,1
901344,2026-01,EQ-0470,Paletizador,Envasado,Línea 3,B,Obstrucción,7.7,Averías,1
901345,2026-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Ajuste incorrecto,4.2,Setup y ajustes,1
901346,2026-01,EQ-0201,Caldera 1,Servicios,N/A,A,Desalineamiento,7.2,Paradas menores,1
901347,2026-01,EQ-0210,Compresor 3,Servicios,N/A,B,Fatiga de material,2.5,Paradas menores,1
901348,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falta de lubricación,9.8,Pérdida de velocidad,1
901349,2026-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,8.4,Averías,1
901350,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,9.5,Paradas menores,1
901351,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,10.7,Setup y ajustes,1
901352,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,6.3,Paradas menores,1
901353,2026-02,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Desgaste,4.9,Setup y ajustes,1
901354,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falla eléctrica,8.3,Averías,1
901355,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,10.5,Averías,0
901356,2026-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desalineamiento,1.4,Averías,1
901357,2026-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Obstrucción,3.9,Pérdida de velocidad,1
901358,2026-02,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,8.9,Averías,1
901359,2026-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Contaminación,10.3,Pérdida de velocidad,1
901360,2026-02,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,6.0,Arranque,1
901361,2026-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Falta de lubricación,1.7,Paradas menores,1
901362,2026-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desgaste,4.0,Averías,1
901363,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Obstrucción,10.0,Defectos y reproceso,1
901364,2026-02,EQ-0211,Chiller 1,Servicios,N/A,A,Ajuste incorrecto,8.8,Averías,1
901365,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Fatiga de material,6.9,Setup y ajustes,1
901366,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Ajuste incorrecto,7.2,Averías,1
901367,2026-02,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Falla eléctrica,1.6,Arranque,1
901368,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Fatiga de material,11.4,Averías,1
901369,2026-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Obstrucción,10.5,Paradas menores,1
901370,2026-02,EQ-0211,Chiller 1,Servicios,N/A,A,Desalineamiento,7.2,Averías,1
901371,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Contaminación,2.7,Averías,1
901372,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falta de lubricación,10.8,Averías,1
901373,2026-02,EQ-0210,Compresor 3,Servicios,N/A,B,Desgaste,8.1,Averías,1
901374,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,3.3,Pérdida de velocidad,1
901375,2026-02,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desalineamiento,3.6,Defectos y reproceso,1
901376,2026-02,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desalineamiento,6.2,Averías,1
901377,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Fatiga de material,4.1,Arranque,1
901378,2026-02,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,4.7,Pérdida de velocidad,1
901379,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,9.8,Setup y ajustes,1
901380,2026-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desalineamiento,1.2,Defectos y reproceso,1
901381,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Obstrucción,4.6,Averías,1
901382,2026-02,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desgaste,7.9,Averías,1
901383,2026-02,EQ-0201,Caldera 1,Servicios,N/A,A,Obstrucción,2.9,Averías,1
901384,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Obstrucción,6.5,Defectos y reproceso,1
901385,2026-02,EQ-0471,Transportador L3,Envasado,Línea 3,C,Obstrucción,5.4,Averías,1
901386,2026-02,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Falla eléctrica,2.7,Pérdida de velocidad,1
901387,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,1.8,Averías,0
901388,2026-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,5.6,Pérdida de velocidad,1
901389,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,8.1,Pérdida de velocidad,1
901390,2026-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falla eléctrica,11.6,Averías,1
901391,2026-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Falta de lubricación,2.3,Pérdida de velocidad,1
901392,2026-02,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Falla eléctrica,3.2,Averías,1
901393,2026-02,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Falla eléctrica,1.7,Defectos y reproceso,1
901394,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desgaste,3.2,Arranque,1
901395,2026-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Contaminación,6.7,Paradas menores,1
901396,2026-02,EQ-0201,Caldera 1,Servicios,N/A,A,Ajuste incorrecto,8.4,Setup y ajustes,1
901397,2026-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desalineamiento,6.0,Setup y ajustes,1
901398,2026-02,EQ-0210,Compresor 3,Servicios,N/A,B,Obstrucción,4.3,Averías,1
901399,2026-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,8.5,Defectos y reproceso,1
901400,2026-02,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,7.1,Setup y ajustes,1
901401,2026-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desalineamiento,5.3,Averías,1
901402,2026-02,EQ-0202,Caldera 2,Servicios,N/A,B,Falta de lubricación,4.1,Setup y ajustes,1
901403,2026-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Desgaste,2.1,Setup y ajustes,1
901404,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,10.5,Setup y ajustes,1
901405,2026-02,EQ-0210,Compresor 3,Servicios,N/A,B,Desgaste,8.8,Setup y ajustes,1
901406,2026-02,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desalineamiento,5.2,Averías,1
901407,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desgaste,4.4,Setup y ajustes,1
901408,2026-02,EQ-0210,Compresor 3,Servicios,N/A,B,Desgaste,2.6,Arranque,1
901409,2026-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desalineamiento,8.3,Defectos y reproceso,1
901410,2026-02,EQ-0201,Caldera 1,Servicios,N/A,A,Desgaste,7.3,Averías,1
901411,2026-02,EQ-0210,Compresor 3,Servicios,N/A,B,Obstrucción,4.4,Paradas menores,1
901412,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Contaminación,2.0,Paradas menores,1
901413,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Ajuste incorrecto,9.6,Averías,1
901414,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falta de lubricación,11.8,Averías,1
901415,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,9.4,Averías,1
901416,2026-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Contaminación,7.0,Averías,1
901417,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Fatiga de material,11.4,Averías,1
901418,2026-02,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desgaste,5.8,Averías,1
901419,2026-02,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desalineamiento,4.4,Setup y ajustes,1
901420,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Contaminación,1.4,Setup y ajustes,1
901421,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Fatiga de material,11.2,Setup y ajustes,1
901422,2026-02,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desgaste,2.8,Arranque,1
901423,2026-02,EQ-0210,Compresor 3,Servicios,N/A,B,Falla eléctrica,3.5,Arranque,1
901424,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,11.9,Defectos y reproceso,1
901425,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desgaste,6.5,Setup y ajustes,1
901426,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Ajuste incorrecto,11.7,Averías,1
901427,2026-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Falta de lubricación,4.2,Paradas menores,1
901428,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,10.6,Setup y ajustes,1
901429,2026-02,EQ-0201,Caldera 1,Servicios,N/A,A,Falla eléctrica,7.3,Averías,1
901430,2026-02,EQ-0211,Chiller 1,Servicios,N/A,A,Obstrucción,10.7,Setup y ajustes,1
901431,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falta de lubricación,1.2,Setup y ajustes,1
901432,2026-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falta de lubricación,10.8,Averías,1
901433,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,2.3,Paradas menores,1
901434,2026-02,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Desgaste,2.4,Averías,1
901435,2026-02,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Fatiga de material,0.9,Averías,1
901436,2026-02,EQ-0201,Caldera 1,Servicios,N/A,A,Falta de lubricación,9.1,Setup y ajustes,1
901437,2026-02,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desgaste,3.9,Paradas menores,1
901438,2026-02,EQ-0202,Caldera 2,Servicios,N/A,B,Falla eléctrica,3.1,Defectos y reproceso,1
901439,2026-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Desgaste,8.8,Pérdida de velocidad,1
901440,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desgaste,6.4,Averías,1
901441,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,5.9,Averías,0
901442,2026-02,EQ-0202,Caldera 2,Servicios,N/A,B,Desalineamiento,3.8,Paradas menores,1
901443,2026-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desalineamiento,2.0,Averías,1
901444,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,4.9,Pérdida de velocidad,1
901445,2026-02,EQ-0201,Caldera 1,Servicios,N/A,A,Desgaste,10.2,Averías,1
901446,2026-02,EQ-0471,Transportador L3,Envasado,Línea 3,C,Desgaste,1.4,Averías,0
901447,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,11.6,Averías,1
901448,2026-02,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desgaste,5.6,Averías,1
901449,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falta de lubricación,3.5,Averías,1
901450,2026-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Contaminación,6.5,Paradas menores,1
901451,2026-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Desgaste,1.5,Averías,1
901452,2026-02,EQ-0470,Paletizador,Envasado,Línea 3,B,Obstrucción,8.8,Paradas menores,1
901453,2026-02,EQ-0471,Transportador L3,Envasado,Línea 3,C,Desgaste,5.5,Averías,1
901454,2026-02,EQ-0202,Caldera 2,Servicios,N/A,B,Desgaste,1.8,Defectos y reproceso,1
901455,2026-02,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Fatiga de material,4.0,Averías,1
901456,2026-02,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desalineamiento,3.0,Pérdida de velocidad,1
901457,2026-02,EQ-0471,Transportador L3,Envasado,Línea 3,C,Contaminación,4.3,Averías,1
901458,2026-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Falla eléctrica,7.7,Pérdida de velocidad,1
901459,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falta de lubricación,4.1,Pérdida de velocidad,1
901460,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Fatiga de material,7.5,Setup y ajustes,1
901461,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falla eléctrica,3.0,Arranque,1
901462,2026-02,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,3.9,Defectos y reproceso,1
901463,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desgaste,4.4,Averías,1
901464,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Obstrucción,1.6,Defectos y reproceso,1
901465,2026-02,EQ-0201,Caldera 1,Servicios,N/A,A,Fatiga de material,10.5,Pérdida de velocidad,1
901466,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,1.4,Averías,1
901467,2026-02,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desalineamiento,2.0,Averías,0
901468,2026-02,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falla eléctrica,1.7,Paradas menores,1
901469,2026-02,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Falla eléctrica,4.3,Setup y ajustes,1
901470,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,4.3,Setup y ajustes,1
901471,2026-02,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falla eléctrica,12.1,Averías,0
901472,2026-02,EQ-0210,Compresor 3,Servicios,N/A,B,Fatiga de material,5.8,Averías,1
901473,2026-02,EQ-0202,Caldera 2,Servicios,N/A,B,Desgaste,0.9,Averías,1
901474,2026-02,EQ-0211,Chiller 1,Servicios,N/A,A,Desgaste,7.1,Averías,1
901475,2026-02,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Ajuste incorrecto,8.0,Setup y ajustes,1
901476,2026-03,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Obstrucción,6.7,Pérdida de velocidad,1
901477,2026-03,EQ-0211,Chiller 1,Servicios,N/A,A,Obstrucción,7.4,Paradas menores,1
901478,2026-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Obstrucción,2.0,Arranque,1
901479,2026-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,10.1,Defectos y reproceso,1
901480,2026-03,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,1.7,Averías,1
901481,2026-03,EQ-0202,Caldera 2,Servicios,N/A,B,Falta de lubricación,8.1,Paradas menores,1
901482,2026-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Ajuste incorrecto,4.1,Averías,1
901483,2026-03,EQ-0211,Chiller 1,Servicios,N/A,A,Obstrucción,8.6,Paradas menores,1
901484,2026-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Obstrucción,1.2,Setup y ajustes,1
901485,2026-03,EQ-0601,Grúa horquilla 4,Bodega,N/A,C,Falla eléctrica,3.2,Averías,1
901486,2026-03,EQ-0471,Transportador L3,Envasado,Línea 3,C,Falta de lubricación,5.9,Averías,1
901487,2026-03,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,8.6,Averías,1
901488,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,6.7,Averías,1
901489,2026-03,EQ-0470,Paletizador,Envasado,Línea 3,B,Fatiga de material,5.2,Averías,1
901490,2026-03,EQ-0210,Compresor 3,Servicios,N/A,B,Desgaste,1.2,Arranque,1
901491,2026-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Obstrucción,1.0,Setup y ajustes,1
901492,2026-03,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Falta de lubricación,1.7,Paradas menores,1
901493,2026-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desgaste,5.9,Paradas menores,1
901494,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,9.9,Averías,1
901495,2026-03,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,5.6,Averías,1
901496,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Obstrucción,7.8,Averías,1
901497,2026-03,EQ-0201,Caldera 1,Servicios,N/A,A,Desalineamiento,1.9,Paradas menores,1
901498,2026-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falla eléctrica,10.1,Paradas menores,1
901499,2026-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Obstrucción,5.9,Averías,0
901500,2026-03,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,6.3,Averías,1
901501,2026-03,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desalineamiento,2.5,Averías,1
901502,2026-03,EQ-0211,Chiller 1,Servicios,N/A,A,Fatiga de material,7.7,Averías,1
901503,2026-03,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,5.7,Setup y ajustes,1
901504,2026-03,EQ-0201,Caldera 1,Servicios,N/A,A,Falta de lubricación,8.0,Averías,1
901505,2026-03,EQ-0202,Caldera 2,Servicios,N/A,B,Desalineamiento,4.1,Defectos y reproceso,1
901506,2026-03,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Contaminación,6.2,Averías,1
901507,2026-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Obstrucción,2.6,Paradas menores,1
901508,2026-03,EQ-0201,Caldera 1,Servicios,N/A,A,Falta de lubricación,9.2,Pérdida de velocidad,1
901509,2026-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Fatiga de material,1.7,Setup y ajustes,1
901510,2026-03,EQ-0210,Compresor 3,Servicios,N/A,B,Contaminación,7.4,Paradas menores,1
901511,2026-03,EQ-0201,Caldera 1,Servicios,N/A,A,Ajuste incorrecto,6.0,Defectos y reproceso,1
901512,2026-03,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Falta de lubricación,6.4,Pérdida de velocidad,1
901513,2026-03,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,8.5,Averías,1
901514,2026-03,EQ-0210,Compresor 3,Servicios,N/A,B,Desgaste,7.0,Averías,1
901515,2026-03,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desgaste,10.9,Averías,1
901516,2026-03,EQ-0310,Reactor P1,Proceso,Línea 1,A,Ajuste incorrecto,4.6,Averías,1
901517,2026-03,EQ-0210,Compresor 3,Servicios,N/A,B,Falta de lubricación,6.9,Averías,1
901518,2026-03,EQ-0471,Transportador L3,Envasado,Línea 3,C,Desalineamiento,5.0,Defectos y reproceso,1
901519,2026-03,EQ-0211,Chiller 1,Servicios,N/A,A,Desgaste,9.3,Averías,1
901520,2026-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Obstrucción,9.4,Averías,1
901521,2026-03,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desgaste,2.6,Paradas menores,1
901522,2026-03,EQ-0310,Reactor P1,Proceso,Línea 1,A,Contaminación,2.6,Averías,1
901523,2026-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Falta de lubricación,1.2,Averías,1
901524,2026-03,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desgaste,1.2,Paradas menores,1
901525,2026-03,EQ-0201,Caldera 1,Servicios,N/A,A,Desalineamiento,1.5,Averías,1
901526,2026-03,EQ-0470,Paletizador,Envasado,Línea 3,B,Desalineamiento,6.2,Pérdida de velocidad,1
901527,2026-03,EQ-0201,Caldera 1,Servicios,N/A,A,Falla eléctrica,5.4,Defectos y reproceso,1
901528,2026-03,EQ-0202,Caldera 2,Servicios,N/A,B,Ajuste incorrecto,4.4,Paradas menores,1
901529,2026-03,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desgaste,9.2,Averías,1
901530,2026-03,EQ-0470,Paletizador,Envasado,Línea 3,B,Falla eléctrica,8.6,Paradas menores,1
901531,2026-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Falla eléctrica,2.8,Paradas menores,1
901532,2026-03,EQ-0310,Reactor P1,Proceso,Línea 1,A,Falla eléctrica,8.1,Averías,1
901533,2026-03,EQ-0210,Compresor 3,Servicios,N/A,B,Fatiga de material,2.2,Averías,1
901534,2026-03,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Desalineamiento,9.2,Averías,1
901535,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,9.9,Averías,1
901536,2026-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Contaminación,2.7,Defectos y reproceso,1
901537,2026-03,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Contaminación,5.5,Defectos y reproceso,1
901538,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falla eléctrica,2.3,Averías,1
901539,2026-03,EQ-0470,Paletizador,Envasado,Línea 3,B,Falla eléctrica,1.7,Setup y ajustes,1
901540,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,10.8,Pérdida de velocidad,1
901541,2026-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desgaste,1.7,Pérdida de velocidad,1
901542,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,5.9,Averías,0
901543,2026-03,EQ-0210,Compresor 3,Servicios,N/A,B,Fatiga de material,4.2,Averías,1
901544,2026-03,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desgaste,4.7,Defectos y reproceso,1
901545,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Ajuste incorrecto,7.9,Arranque,1
901546,2026-03,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Falta de lubricación,4.1,Setup y ajustes,1
901547,2026-03,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desgaste,4.3,Averías,1
901548,2026-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Fatiga de material,4.8,Defectos y reproceso,1
901549,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Contaminación,7.0,Setup y ajustes,1
901550,2026-03,EQ-0210,Compresor 3,Servicios,N/A,B,Desgaste,5.0,Paradas menores,1
901551,2026-03,EQ-0471,Transportador L3,Envasado,Línea 3,C,Obstrucción,2.3,Paradas menores,1
901552,2026-03,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,6.2,Setup y ajustes,1
901553,2026-03,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,3.7,Averías,1
901554,2026-03,EQ-0470,Paletizador,Envasado,Línea 3,B,Fatiga de material,2.3,Averías,1
901555,2026-03,EQ-0201,Caldera 1,Servicios,N/A,A,Obstrucción,3.0,Averías,1
901556,2026-03,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,3.4,Paradas menores,1
901557,2026-03,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Ajuste incorrecto,4.6,Averías,1
901558,2026-03,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Desalineamiento,4.3,Averías,0
901559,2026-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Falla eléctrica,3.0,Pérdida de velocidad,1
901560,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Fatiga de material,10.5,Arranque,1
901561,2026-03,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Ajuste incorrecto,5.7,Defectos y reproceso,1
901562,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desgaste,5.5,Paradas menores,1
901563,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Contaminación,5.7,Setup y ajustes,1
901564,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Ajuste incorrecto,11.0,Averías,1
901565,2026-03,EQ-0320,Mezclador P2,Proceso,Línea 2,B,Falla eléctrica,4.8,Defectos y reproceso,1
901566,2026-03,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Desalineamiento,11.2,Pérdida de velocidad,1
901567,2026-03,EQ-0201,Caldera 1,Servicios,N/A,A,Falta de lubricación,4.1,Paradas menores,1
901568,2026-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Ajuste incorrecto,3.7,Defectos y reproceso,1
901569,2026-03,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Desalineamiento,5.0,Setup y ajustes,1
901570,2026-03,EQ-0211,Chiller 1,Servicios,N/A,A,Obstrucción,8.1,Averías,1
901571,2026-03,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Falta de lubricación,8.6,Averías,1
901572,2026-03,EQ-0331,Bomba de proceso,Proceso,Línea 1,C,Falla eléctrica,3.7,Averías,1
901573,2026-03,EQ-0210,Compresor 3,Servicios,N/A,B,Desalineamiento,8.0,Averías,1
901574,2026-03,EQ-0455,Envasadora L1,Envasado,Línea 1,A,Obstrucción,8.2,Averías,1
901575,2026-03,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desalineamiento,4.9,Averías,1
901576,2026-03,EQ-0201,Caldera 1,Servicios,N/A,A,Desalineamiento,10.5,Averías,1
901577,2026-03,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Desalineamiento,5.3,Averías,1
901578,2026-03,EQ-0470,Paletizador,Envasado,Línea 3,B,Desalineamiento,4.4,Paradas menores,1
